"PSY_ITEM_ID","PSY_ITEM_VER","SUB_PSY_ITEM_ID","QUESTION_NO","CHOICE_NO","CHOICE_DIRECTION","CHOICE_SCORE","IMG_FILE_PATH","IMG_FILE_NM","MEDIA_FILE_PATH","MEDIA_FILE_NM"
PEER_RELATIONSHIP,V1.0,"20202031",34,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",34,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",35,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",35,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",35,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",35,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",35,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",36,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",36,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",36,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",36,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",36,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",37,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",37,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",37,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",37,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",37,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",38,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",38,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",38,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",38,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",38,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",39,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",39,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",39,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",39,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",39,5,매우 그렇다.,5,"",,"",
