"PSY_CODE","CLASS_CODE","PSY_ORD_TARGET","PSY_ORD_NO","PSY_NAME","PSY_URL","START_DATE","END_DATE","ORIGINAL_END_DATE","LONGITUDINAL_YN","CLOSE_YN","USE_YN","USE_CNT","USE_DATE","MEMO","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE"
P20250709CD51,M1000002320256030CF8,,P250708081015c89b330,"25년 7월 2회차",P20250709CD51-M1000002320256030CF8,"20250709","20250730",,Y,N,,0,,,M10000023,"2025-07-09 01:42:02",,
P20250709D60C,AC00022025303BF27,,P2507071050375f7a23d,"25년 7월 5회차",P20250709D60C-AC00022025303BF27,"20250609","20250708","20250701",Y,Y,,0,,,M10000004,"2025-07-09 02:18:25",,
P20250709EF7B,AC00022025303BF27,,P2507071050375f7a23d,"25년 7월 4회차",P20250709EF7B-AC00022025303BF27,"20250701","20250708",,Y,Y,,0,,,M10000004,"2025-07-09 02:04:03",,
P20250709F10C,AC00022025303BF27,,P2507071050375f7a23d,"25년 7월 2회차",P20250709F10C-AC00022025303BF27,"20250709","20250731",,Y,Y,,0,,,M10000004,"2025-07-09 02:03:10",,
P202507100658,AC030220253019473,,P2507090903365080a14,"25년 7월 2회차",P202507100658-AC030220253019473,"20250710","20250824","20250817",Y,Y,,0,,,M10000044,"2025-07-10 02:59:07",,
P202507101594,M100000392025402A779,,P250710064606042b4e6,"25년 7월 1회차",P202507101594-M100000392025402A779,"20250710","20250810",,Y,Y,,0,,,M10000039,"2025-07-10 06:47:55",,
P202507102E70,AC030220254020EB9,,P250710004419c28ffb8,"25년 7월 3회차",P202507102E70-AC030220254020EB9,"20250710","20250810",,Y,Y,,0,,,M10000039,"2025-07-10 04:48:03",,
P202507103119,AC030220254020EB9,,P250710004419c28ffb8,"25년 7월 2회차",P202507103119-AC030220254020EB9,"20250710","20250810",,Y,Y,,0,,,M10000039,"2025-07-10 01:49:55",,
P20250710726B,AC03022025503A360,,P250710024600a6dca24,"25년 7월 2회차",P20250710726B-AC03022025503A360,"20250910","20251010",,Y,Y,,0,,,M10000045,"2025-07-10 02:52:35",,
P202507107BAC,QC015920253011D6D,,P250709073224a3dcadf,"25년 7월 2회차",P202507107BAC-QC015920253011D6D,"20250710","20250711",,Y,N,,0,,,M10000037,"2025-07-10 01:56:04",,
P202507109373,AC0033202530170E8,,P25070801344605f162e,"25년 7월 1회차",P202507109373-AC0033202530170E8,"20250707","20250718",,Y,Y,,0,,,M10000016,"2025-07-10 00:06:13",,
P202507109627,AC030220254020EB9,,P250710004419c28ffb8,"25년 7월 4회차",P202507109627-AC030220254020EB9,"20250710","20250810",,Y,Y,,0,,,M10000039,"2025-07-10 04:57:21",,
P20250710A306,LC048920253027803,,P25070704080644ae643,"25년 7월 1회차",P20250710A306-LC048920253027803,"20250709","20250724",,Y,N,,0,,,M10000017,"2025-07-10 06:25:12",,
P20250710A477,AC028020254014067,,P25070901034256a963f,"25년 7월 3회차",P20250710A477-AC028020254014067,"20250701","20250710",,Y,N,,0,,,M10000024,"2025-07-10 01:05:37",,
P20250710A7D1,AC03022025503A360,,P250710024600a6dca24,"25년 7월 1회차",P20250710A7D1-AC03022025503A360,"20250710","20250810",,Y,Y,,0,,,M10000045,"2025-07-10 02:52:25",,
P20250710AEAF,LC048920253027803,,P25070704080644ae643,"25년 7월 2회차",P20250710AEAF-LC048920253027803,"20250710","20250717",,Y,N,,0,,,M10000017,"2025-07-10 06:27:40",,
P20250710B48A,AC030220254020EB9,,P250710004419c28ffb8,"25년 7월 1회차",P20250710B48A-AC030220254020EB9,"20250710","20250810",,Y,Y,,0,,,M10000039,"2025-07-10 00:56:23",,
P20250710DAF0,M100000212025401E799,,P2507080146437a3e70b,"25년 7월 4회차",P20250710DAF0-M100000212025401E799,"20250710","20250710",,Y,N,,0,,,M10000021,"2025-07-10 05:15:16",,
P20250710DD9E,AC030220253019473,,P2507090903365080a14,"25년 7월 1회차",P20250710DD9E-AC030220253019473,"20250710","20250810",,Y,Y,,0,,,M10000044,"2025-07-10 02:48:16",,
P20250710E2B5,M100000402025402FE18,,P2507100430125dc04e6,"25년 7월 1회차",P20250710E2B5-M100000402025402FE18,"20250710","20250817","20250810",Y,Y,,0,,,M10000040,"2025-07-10 04:33:42",,
P20250710E92D,AC03022025503A360,,P250710024600a6dca24,"25년 7월 2회차",P20250710E92D-AC03022025503A360,"20250710","20250810",,Y,Y,,0,,,M10000045,"2025-07-10 05:24:08",,
P202507116E63,M1000005520256019C95,,P250711013151b0446cd,"25년 7월 3회차",P202507116E63-M1000005520256019C95,"20250711","20250719",,Y,N,,0,,,M10000055,"2025-07-11 14:56:13",,
P2025071179A1,M100000592025601B53A,,P250711112529dcea7e7,"25년 7월 1회차",P2025071179A1-M100000592025601B53A,"20250709","20250712",,Y,Y,,0,,,M10000059,"2025-07-11 20:25:55",,
P20250711832F,EC020820253011046,,P25071111175408420bb,"25년 7월 1회차",P20250711832F-EC020820253011046,"20250709","20250711",,Y,Y,,0,,,M10000059,"2025-07-11 20:19:29",,
P202507118C5B,M1000005520256019C95,,P250711013151b0446cd,"25년 7월 2회차",P202507118C5B-M1000005520256019C95,"20250711","20250713",,Y,Y,,0,,,M10000055,"2025-07-11 14:33:30",,
P202507119B44,M1000000320255019470,,P250707020626e230921,"25년 7월 2회차",P202507119B44-M1000000320255019470,"20250108","20250927","20250920",Y,Y,,0,,,M10000003,"2025-07-11 15:55:18",,
P20250711EE8A,M1000000320255019470,,P250707020626e230921,"25년 7월 1회차",P20250711EE8A-M1000000320255019470,"20250730","20250918",,Y,N,,0,,,M10000003,"2025-07-11 15:53:15",,
P20250711FD39,M1000005520256019C95,,P250711013151b0446cd,"25년 7월 1회차",P20250711FD39-M1000005520256019C95,"20250711","20250719",,Y,Y,,0,,,M10000055,"2025-07-11 01:40:00",,
P202507136646,M1000006320255020B29,,P250713225725e522cbf,"25년 7월 1회차",P202507136646-M1000006320255020B29,"20250714","20250714",,Y,N,,0,,,M10000063,"2025-07-14 08:04:54",,
P2025071435F0,M100000642025301E27F,,P25071401593573be29c,"25년 7월 1회차",P2025071435F0-M100000642025301E27F,"20250715","20250718",,Y,Y,,0,,,M10000064,"2025-07-14 11:09:34",,
P202507143A7D,M1000000320255019470,,P250707020626e230921,"25년 7월 2회차",P202507143A7D-M1000000320255019470,"20250714","20250721",,Y,N,,0,,,M10000003,"2025-07-14 09:19:52",,
P20250714BD6A,AC000120256016589,,P250708043436e55f5e5,"25년 7월 3회차",P20250714BD6A-AC000120256016589,"20250714","20250731",,Y,N,,0,,,M10000001,"2025-07-14 11:58:02",,
P202507154D76,M1000000320255021238,,P250707105818db73bdd,"25년 7월 2회차",P202507154D76-M1000000320255021238,"20250716","20250815",,Y,N,,0,,,M10000003,"2025-07-15 10:31:15",,
P202507154E91,M1000006320255020B29,,P250713225725e522cbf,"25년 7월 2회차",P202507154E91-M1000006320255020B29,"20250715","20250716",,Y,Y,,0,,,M10000063,"2025-07-15 13:03:07",,
